timestamp,city,temperature,description
2026-05-12T10:31:11.493Z,Bangkok,31.94,overcast clouds
2026-05-12T14:25:00.273Z,Bangkok,28.94,overcast clouds
2026-05-12T14:36:56.876Z,Bangkok,28.94,overcast clouds
2026-05-12T15:26:03.138Z,Bangkok,28.94,overcast clouds
2026-05-12T17:53:55.870Z,Bangkok,27.43,overcast clouds
2026-05-12T19:29:47.878Z,Bangkok,27.94,overcast clouds
2026-05-12T21:11:26.870Z,Bangkok,27.94,overcast clouds
2026-05-12T22:53:27.400Z,Bangkok,26.94,overcast clouds
2026-05-13T02:28:14.910Z,Bangkok,30.99,scattered clouds
2026-05-13T06:43:00.443Z,Bangkok,36.22,scattered clouds
2026-05-13T09:26:49.612Z,Bangkok,35.57,few clouds
2026-05-13T10:15:17.897Z,Bangkok,34.83,few clouds
2026-05-13T14:10:47.753Z,Bangkok,30.06,few clouds
2026-05-13T17:56:15.018Z,Bangkok,32.75,broken clouds
2026-05-13T19:47:23.047Z,Bangkok,27.94,overcast clouds
2026-05-13T21:19:14.523Z,Bangkok,27.94,overcast clouds
2026-05-13T22:59:02.988Z,Bangkok,29.72,overcast clouds
2026-05-14T02:29:31.023Z,Bangkok,30.82,overcast clouds
2026-05-14T06:41:49.989Z,Bangkok,34.82,overcast clouds
